Original_Message,Extremism_Label,VE vs NVE classification,VE Subtype classification,Target demographics Detection,Justification
your trainees are literally going to hang by your boss,EXTREMIST,NVE,N/A,Ethnic/racial group,"The message expresses vocal opposition and derogatory language towards an ethnic/racial group ('pakis'), but does not contain a serious threat of action, advocate structural damage, support physical attacks, or indicate personal responsibility to act."
rick told you all to go back and kill em all you all nicolas did not listen now they are chewing on bob s leg and shit extra tasty crispy,EXTREMIST,VE,Political,Occupation,"The message contains a serious threat of action, specifically threats of rape and murder, directed at protesting medical students and doctors. This satisfies the criteria for Violent Extremist classification under political subtype, targeting the occupation group of medical professionals."
fuck pakis fucking animals have more sense than them,EXTREMIST,NVE,N/A,Animals,"The message expresses vocal opposition to zoos by advocating for animals to be free but does not contain any serious threat of action, support for physical attacks, or structural damage. There is no indication of personal responsibility to act or cognitive opening suggesting a crisis."
tmc mla abu taker khan threatens protesting medical students with rape and murder on camera if you are done licking but tholes you can start doing your jobs doctors strike doctors fightback doctorsunderoppression,EXTREMIST,VE,Political,"Nationality, Religious group","The message contains a serious threat of action and expresses support for physical attacks ('while migrant attack in progress') and calls for protest against political leadership (Merkel), indicating a personal responsibility to act against migrants and Muslims associated with migration."
i just cannot stand zoos animals belong free,EXTREMIST,VE,ideological,Gender,"The message contains a serious threat of action, specifically expressing hope that someone will kill a woman, indicating support for physical attacks. The target demographic is gender-based."
s o s help europe now rapefugee open borders muslimmigrations non germans protest merkel while migrant attack in progress via,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action advocating lethal violence ('let us kill all of them'), indicating personal responsibility to act and support for physical attacks. The specific target group is not identified in the message."
it is a plague to this world and i hope someone will kill this woman,EXTREMIST,NVE,N/A,Ethnic/Racial group (Traveling community),"The message vocalizes opposition to derogatory treatment of the traveling community and rejects hateful language but does not contain any threat, advocacy of violence, or call for physical action."
let us kill all of them and get it over with they are all fucking monsters and deserve to die,EXTREMIST,NVE,,Political group,"The message expresses vocal opposition to the views attributed to Nazis, a political group, using disparaging language but does not contain any threat of action, support for violence, or indication of personal responsibility to act."
let us kill all of them and get it over with they are murderers and deserve to die,EXTREMIST,NVE,N/A,Unclear,"The message uses insulting language but does not contain any threat of action, advocacy for physical attacks, or structural damage. There is no indication of personal responsibility to act or mention of a catalyst/crisis. It expresses vocal opposition but not violence."
i do not understand why some people are calling tithe travelling community vermin and such words because it is not true just because you do not like their where are you of life does not give you the right to call them or any human being vermin based on life choices yes if they were at the bottom of my backyard i would be building relationships a friendly chat and the offer of a cup of just the same as i treat anyone else,EXTREMIST,VE,Political,"Political group, Nationality, Gender","The message contains serious threats and offensive language directed at political opponents ('democratic library globalist cunts'), implies derogatory action towards a nationality ('rapefugee'), and insults based on gender/sexual identity ('transsexual fag'). It advocates hostility and supports verbal attacks, fitting the violent extremist criteria based on threats and hostile intent."
any normal person with a brain would agree that whatever comes out of a nazi s mouth is complete bullshit,EXTREMIST,NVE,N/A,Unclear,"The message contains vocal opposition and insults but does not contain any serious threat of action, advocacy for structural damage, support for physical attacks, or indication of personal responsibility to act."
yeah and you are a fucking terrorist supporting scumbag fucking loser,EXTREMIST,VE,Ideological,"Religious group, Gender","The message contains a serious threat of action ('bust a wicca head', 'smack a ho', 'shoot the club up'), expressing support for physical attacks targeting a religious group (Wicca) and women, indicating a personal responsibility to act through violent language."
actually that sign had been used as okay or cool long before retarded democratic library globalist cunts like you started calling everything white power and racism and being offended by everything so go get fucked by a rapefugee you transsexual fag,EXTREMIST,VE,political,"Nationality, Occupation","The message contains a serious threat of action advocating attacks against specific groups (asylum seekers) for not adhering to British values, indicating personal responsibility to act, fitting the criteria for violent extremism of a political subtype targeting nationality and occupation-related groups."
whatever applaud the murder of allah worshipers,EXTREMIST,NVE,N/A,Political group,"The message expresses opposition and skepticism towards a political figure associated with 'dc maga' and 'walkaway' movements, without mentioning physical force, threats, or advocacy of violence."
uh guest using uh does not make you sound intelligent or superior it makes you sound like the moron you always prove yourself to be in your case you should spell it duh,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition and ingroup-outgroup grievances by suggesting a group is inherently linked to terrorism and criticizing their patriotism, but it does not contain a serious threat of action, advocacy for structural damage, support for physical attacks, or personal responsibility to act."
bust a wicca head smack a ho shoot the club up face with tears of joy speaker high volume speaker high volume woman dancingwoman dancing,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action ('ill kill them'), indicating support for physical attacks and personal responsibility to act. No specific target group is named."
i purpose that whatever attack everyone who cannot adhere to british values starting with asylum seekers,EXTREMIST,NVE,,Gender,"The message expresses vocal opposition and ingroup-outgroup grievances related to gender roles but does not contain serious threats, advocacy for structural damage, or support for physical attacks."
even a gym would not hire him and who the heck got him in dc maga walkaway leaved makeup no jihad noaa,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action advocating killing, expressing support for physical attacks with language that indicates personal responsibility to act. No specific target demographic is mentioned."
people having terrorism in their dna should not open their mouth to raise question on patriotism of msd dhonikeepstheglove dhonikeeptheglove,EXTREMIST,VE,ideological,ethnic/racial group,"The message explicitly expresses support for physical attacks (murder) against a specific racial group (black people), constituting a serious threat of action and ideological violent extremism."
ill kill them so they do not bother me anymore,EXTREMIST,NVE,N/A,Ethnic/racial group (Mexicans/immigrants),"The message expresses vocal opposition and ingroup-outgroup grievances against Mexican immigrants, using derogatory language and advocating for a border wall, but does not contain a serious threat of violence, calls for physical attacks, or indicates personal responsibility to act."
maybe if women want to stop being seen as inferior to men they should stop acting inferior to us,EXTREMIST,VE,Political,Ethnic/racial group,"The message contains a serious threat of action advocating physical attacks against those not adhering to British values, explicitly targeting black people. This meets the Violent Extremist criteria."
let us kill all of them and get it over with they are all scum and deserve to die,EXTREMIST,NVE,N/A,"Gender, Ethnic/racial group","The message references a Kurdish female suicide bomber, discussing a specific narrative that challenges a group's mythology, without expressing support for physical attacks or threats. It shows vocal opposition or critique but does not advocate violence or structural damage."
i endorse the murder of black people,EXTREMIST,NVE,N/A,Nationality,"The message expresses vocal opposition to mainstream values such as immigration and multiculturalism, and leans on ingroup-outgroup grievances regarding Germany and related social issues, but contains no serious threat, advocacy for violence, or calls for physical action."
mexican fugitive wanted for murder found in south carolina whatever need a wall to keep these scum out of our country buildthewall noaa no amnesty maga key votary walkaway,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them') advocating for physical harm, fulfilling criteria for Violent Extremist classification. The target group is not specified explicitly."
i purpose that whatever attack everyone who cannot adhere to british values starting with black people,EXTREMIST,NVE,,"Political group, Ethnic/racial group","The message expresses vocal opposition to the target's political views and ethnic/racial identity without mentioning physical force, threats, or advocating for structural damage. It indicates grievances but no call for violent action."
not a means cool a k a on jihad stream about the kurdish female suicide bomber in kane that story undermines their mythology on several levels,EXTREMIST,VE,political,Unclear,"The message contains a serious threat of action ('let us kill all of them'), expresses support for physical attacks, indicating violent extremist content. The reference to 'terrorists' suggests a political context, but the specific target demographic is not clearly identified."
the media is lying about chemnitz declining books surge in sales via defendeurope stoptheinvasion white genocide open borders multicultural diversity diversityisourstrength germany chemnitz,EXTREMIST,NVE,N/A,Ethnic/racial group,"The message expresses ingroup-outgroup grievance ('white purity' vs 'dark skins') without mentioning physical force, damage, specific threats, or a personal responsibility to act."
let us kill all of them and get it over with they are all fucking pathetic and deserve to die,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and grievances towards a religious group (Muslims) and mentions distrust due to perceived past actions, but does not contain serious threats, advocacy for structural damage, support for physical attacks, or calls for personal responsibility to act violently."
what did i prove for you that you are blissfully ignorant group thinker political chump and race traitor,EXTREMIST,NVE,N/A,Unclear,"The message mentions 'mob attack hate crimes' indicating vocal opposition or grievance but does not contain a serious threat, advocacy for structural damage, or personal responsibility to act."
let us kill all of them and get it over with they are fucking terrorists,EXTREMIST,NVE,None,Religious group; Nationality,"The message expresses grievance against the ICC (an institution) accusing it of being biased (blind to jihadists) and submissive, linking this to historical 'colonial hangover' and referencing abuse scandals. There is vocal opposition and ingroup-outgroup framing (criticizing perceived injustices towards Muslims or Pakistanis), but no explicit call for violence, threats, or advocacy for physical attack."
face with tears of joy face with tears of joy face with tears of joy rt them charlotte goons nicolas on fkk around and burn bank of america stadium down fire,EXTREMIST,NVE,None,Occupation,"The message expresses a negative opinion ('lazy') towards 'bomb builders' but does not contain any threat, advocacy for violence, or call to action. It represents vocal opposition or criticism without violent content."
let us kill all of them and get it over with they are scum,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and derogatory sentiments towards a religious group but does not contain serious threats, advocacy for physical attacks, or a call to personal action."
white purity is under attack from dark skins,EXTREMIST,VE,Ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them') and expresses support for physical attacks. The target group is not specified, making it unclear."
hit a bitch with a car bomb,EXTREMIST,VE,Ideological,Unclear,"The message contains a serious threat of action involving shooting, indicating support for physical attacks, fulfilling the Violent Extremist criteria."
why serving halal to muslims is not having religion why are you so hell bent in proving that you are not islamophobic but a big hinduphobic why after temple terrorism by these muslims you expect hindus to trust them why on earth you didnt refund his money dont preach parent looking,EXTREMIST,VE,ideological,Religious group,"The message contains a serious threat of action by explicitly expressing a desire to carry out physical violence towards a religious group (Jews), indicating support for physical attacks."
jharkhand mob attack hate crimes continue aimm chief on,EXTREMIST,VE,Political,Nationality,"The message contains a serious threat of action referencing a mass shooting at a New York high school, labels the individual as an 'illegal alien terrorist,' and advocates for enforcement actions like deportation and building a wall, indicating support for physical attacks and structural damage related to immigration policy."
icc is blind to jihadist they couldnt do anything about the murder of pakistani coach whilst the world cup what a slut underway bobwoolmer they suffer from colonial hangover and submissive to the criminal this mentality brought rotterdam abuse to a thousand kids dhonikeepstheglove,EXTREMIST,VE,Unclear,Unclear,"The message contains a serious threat of action ('let us kill all of them'), indicating support for physical attacks. No specific target group or subtype is clear from the message."
bomb builders are lazy,EXTREMIST,NVE,N/A,"Political group, Gender, Nationality","The message expresses vocal opposition and grievances against political groups ('democratic library globalist'), and uses offensive language targeting Gender ('transsexual') and Nationality ('rapefugee') but does not contain a serious threat of action, advocacy for structural damage, or support for physical attacks."
towelheads are totally inferior to others,EXTREMIST,NVE,,Gender,"The message expresses vocal opposition towards transgender individuals (a gender-related group) without any mention of physical force, threats, or advocacy for structural damage or violent action."
let us kill all of them and get it over with they are fucking monsters,EXTREMIST,NVE,N/A,Occupation,"The message expresses vocal opposition and grievance against a political figure described as a dictator and references voters and doctors, but it does not contain serious threats, advocacy for physical attacks, or explicit calls for structural damage or personal responsibility to act. Although 'doctors fightback' suggests resistance, no direct endorsement of violence is stated."
i do not trust dese hoes nikki told where i stay at all my fans screenshot asap whatever fitting to come to chiral and shoot sum,EXTREMIST,,,,
i would love to stab some jews right now,EXTREMIST,,,,
media blackout daca recipient threatens to commit mass shooting at new york high school via is not an undocumented immigrant she is an illegal alien terrorist buildthewall enforceuslaws deportthemall no amnesty,EXTREMIST,,,,
let us kill all of them and get it over with they are fucking liars,EXTREMIST,,,,
actually that sign had been used as okay or cool long before retarded democratic library globalist cunts like you started calling everything white power and racism and being offended by everything so go get fucked by a rapefugee you transsexual,EXTREMIST,,,,
trans people can literally go hang,EXTREMIST,,,,
call me of write back will never dare to do the right thing catch the funds how can a dictator who has lost her mind arrest funds she cannot arrest her own voters even if they murder doctors everything is allowed for voters no level too low doctors fightback,EXTREMIST,,,,
